41.27 0.098
57.92 0.149
61.95 0.007
66.23 0.068
94.37 0.100
102.99 0.142
195.65 0.033
197.07 0.085
371.26 0.025
374.65 0.024
403.73 0.011
404.38 0.190
434.04 0.235
436.36 0.260
436.75 0.159
438.64 0.024
442.52 0.029
472.25 0.139
474.78 0.020
541.42 0.052
544.23 0.100
561.76 0.026
561.97 0.047
773.13 0.077
779.14 0.008
794.71 0.023
806.93 0.076
836.15 0.083
837.13 0.004
979.55 0.149
982.81 0.023
1025.95 0.000
1027.82 0.121
1035.15 0.009
1061.70 0.049
1068.46 0.052
1274.07 0.038
1282.07 0.014
1341.64 0.598
1349.83 0.025
1358.83 0.056
1360.81 0.050
1434.31 0.119
1435.82 0.042
1469.18 0.026
1473.01 0.253
1637.04 0.236
1639.10 0.036
1826.28 0.026
1826.57 0.149
1840.78 0.044
1845.53 0.019
1869.28 0.121
1876.25 0.147
1938.00 0.231
1945.29 0.009
1963.19 0.111
1974.07 0.092
1990.12 0.310
1995.11 0.068
2050.55 0.240
2052.17 0.023
2054.59 0.140
2068.46 0.256
2077.02 0.021
2194.02 0.301
2200.71 0.009
2239.02 0.216
2242.40 0.000
2264.51 0.020
2269.10 0.039
2300.53 0.045
2307.16 0.185
2429.46 0.027
2429.66 0.089
2633.55 0.165
2637.62 0.087
2640.50 0.005
2651.46 0.054
2652.20 0.021
2660.82 0.117
2660.90 0.064
2859.65 0.072
2859.85 0.119
2863.53 0.029
2865.04 0.107
2903.08 0.163
2907.70 0.411
3133.92 0.282
3150.27 0.043
3239.09 0.041
3260.17 0.057
3351.03 0.010
3358.09 0.052
3418.02 0.051
3418.67 0.068
3421.90 0.335
3468.73 0.295
3470.98 0.060
3473.01 0.098
3484.55 0.080
3558.03 0.196
3560.14 0.144
3586.28 0.046
3592.43 0.020
3674.78 0.038
3682.05 0.046
3782.63 0.189
3794.15 0.068
3828.61 0.244
3829.67 0.284
3993.16 0.005
3996.06 0.012
3998.33 0.177
4164.84 0.182
4169.13 0.014
4237.28 0.308
4248.16 0.012
4251.39 0.149
4256.63 0.116
4269.30 0.229
4275.95 0.016
4276.74 0.050
4284.77 0.018
4286.12 0.223
4294.58 0.102
4308.40 0.097
4313.83 0.030
4465.77 0.167
4467.31 0.099
4479.80 0.033
4490.24 0.064
4556.68 0.009
4560.21 0.091
4604.14 0.177
4607.71 0.037
4609.24 0.063
4610.55 0.041
4640.41 0.040
4643.18 0.053
4687.73 0.034
4689.45 0.059
4694.04 0.004
4708.09 0.042
4751.65 0.037
4753.95 0.085
4919.42 0.044
4921.03 0.049
4933.35 0.142
4938.73 0.089
4988.87 0.214
4993.76 0.068
5016.03 0.123
5021.12 0.009
5036.15 0.343
5041.60 0.167
5069.94 0.097
5074.89 0.094
5077.55 0.074
5080.81 0.008
5087.13 0.018
5088.32 0.021
5114.31 0.058
5117.61 0.048
5151.52 0.018
5152.97 0.163
5174.17 0.088
5178.95 0.001
5210.65 0.160
5212.53 0.295
5243.71 0.107
5254.21 0.017
5291.42 0.148
5293.23 0.014
5298.29 0.335
5315.64 0.036
5325.96 0.052
5354.76 0.009
5358.78 0.033
5455.78 0.019
5457.67 0.152
5537.59 0.062
5552.56 0.009
5569.78 0.255
5572.13 0.164
5603.27 0.090
5614.68 0.174
5641.43 0.003
5643.29 0.031
5663.75 0.049
5664.54 0.015
5760.49 0.123
5760.89 0.164
5780.45 0.388
5787.13 0.079
6004.56 0.072
6011.68 0.022
6014.88 0.020
6027.64 0.041
6030.19 0.031
6212.82 0.038
6213.01 0.082
6266.84 0.389
6267.41 0.132
6292.87 0.104
6296.68 0.139
6310.69 0.230
6314.42 0.008
6400.33 0.114
6402.91 0.007
6430.78 0.123
6430.94 0.048
6461.24 0.165
6463.10 0.134
6634.65 0.061
6635.88 0.022
6669.90 0.188
6674.55 0.051
6789.16 0.078
6791.56 0.122
6834.30 0.019
6852.18 0.061
6966.10 0.051
6982.69 0.012
7086.31 0.021
7093.48 0.068
7193.57 0.271
7193.92 0.089
7200.16 0.052
7202.38 0.011
7206.84 0.259
7209.57 0.110
7330.44 0.043
7333.61 0.018
7616.20 0.035
7621.17 0.114
7681.79 0.075
7691.72 0.004
7768.76 0.096
7774.70 0.056
7804.11 0.063
7806.57 0.021
7851.55 0.031
7859.97 0.125
7892.20 0.151
7895.35 0.345
7953.28 0.002
7958.09 0.001
7973.01 0.209
7973.14 0.118
8052.74 0.024
8067.36 0.002
8115.07 0.455
8116.71 0.100
8132.74 0.700
8137.29 0.026
8137.60 0.085
8138.42 0.050
8146.81 0.358
8147.98 0.337
8204.89 0.122
8206.90 0.233
8212.98 0.043
8219.79 0.042
8342.36 0.001
8343.34 0.055
8383.21 0.055
8384.69 0.221
8400.73 0.074
8402.63 0.066
8519.28 0.024
8526.26 0.159
8612.46 0.075
8618.16 0.058
8619.01 0.053
8709.08 0.182
8716.04 0.076
8749.87 0.010
8751.97 0.174
8765.78 0.042
8778.61 0.018
8784.41 0.177
8787.25 0.041
8792.96 0.069
8808.60 0.128
8811.79 0.092
8955.80 0.016
8959.36 0.108
9006.26 0.147
9007.23 0.041
9017.92 0.057
9019.87 0.003
9024.04 0.158
9031.02 0.002
9088.67 0.088
9090.17 0.037
9101.16 0.057
